idx,thickness,is_dashed,season
0,1,True,spring
1,1,False,spring
2,0.5,False,spring
6,1,False,summer
8,0.8,True,summer
10,1.2,True,fall
11,1,False,fall
12,1,True,winter
13,1,False,winter
18,1,True,winter
20,1,False,winter
21,1,False,winter
22,1,False,winter
23,1,True,winter
24,1,False,winter
25,1,True,winter
30,2,False,winter
31,1,True,winter
35,1.5,True,winter
