peakid,pkname
AMAD,Ama Dablam
ANN1,Annapurna I
BARU,Baruntse
CHOY,Cho Oyu
DHA1,Dhaulagiri I
EVER,Everest
KANG,Kangchenjunga
LHOT,Lhotse
MAKA,Makalu
MANA,Manaslu
PUMO,Pumori
